dsc_fonte,municipio_origem,cod_ibge_origem,uf_origem,municipio_destino,cod_ibge_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada,local
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2023,1,361,"115,0","0,3186",01/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2023,2,361,"115,0","0,3186",02/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,2,510,"137,5","0,2696",02/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,2,992,"282,0","0,2843",02/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,3,510,"133,33","0,2614",03/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2023,3,361,"125,0","0,3463",03/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,3,992,"285,0","0,2873",03/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,4,992,"190,0","0,1915",04/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,4,510,"122,67","0,2405",04/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2023,4,361,"120,0","0,3324",04/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,5,510,"122,67","0,2405",05/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,5,992,"260,0","0,2621",05/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,6,510,"120,0","0,2353",06/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,6,992,"214,0","0,2155",06/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,7,992,"237,0","0,2388",07/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,7,510,"121,0","0,2379",07/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,8,992,"271,0","0,2734",08/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,8,510,"135,0","0,2647",08/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,9,992,"269,0","0,2709",09/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,9,510,"129,0","0,2523",09/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,10,992,"234,0","0,2359",10/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,10,510,"123,0","0,242",10/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,11,510,"122,0","0,24",11/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,11,992,"234,0","0,2359",11/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2023,12,510,"121,0","0,2377",12/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2023,12,992,"234,0","0,2359",12/2023,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,1,992,"195,0","0,1966",01/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,1,510,"133,0","0,2608",01/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,2,510,"116,0","0,2275",02/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,2,992,"225,0","0,2268",02/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,3,510,"99,0","0,1941",03/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,3,992,"154,0","0,1552",03/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,4,510,"94,0","0,1833",04/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,4,992,"160,0","0,1613",04/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,5,510,"103,0","0,202",05/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,5,992,"170,0","0,1714",05/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,6,510,"103,0","0,2026",06/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,6,992,"215,0","0,2167",06/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,7,510,"105,0","0,2049",07/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,7,992,"226,0","0,2278",07/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,8,992,"201,0","0,2024",08/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,8,510,"102,0","0,2",08/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,9,510,"95,0","0,1863",09/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,9,992,"200,0","0,2016",09/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,10,992,"180,0","0,1815",10/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,10,510,"90,0","0,1765",10/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,11,992,"180,0","0,1815",11/2024,PR        
