municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Setembro,510,"95,0","0,1863"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Setembro,992,"200,0","0,2016"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Outubro,992,"180,0","0,1815"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Outubro,510,"90,0","0,1765"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Novembro,992,"180,0","0,1815"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Novembro,510,"87,0","0,1706"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Dezembro,992,"168,0","0,1694"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Dezembro,510,"87,0","0,1706"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Julho,589,"180,0","0,3056"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Julho,810,"288,25","0,3559"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Agosto,810,"304,0","0,3753"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Agosto,589,"190,0","0,3226"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Setembro,810,"267,0","0,3296"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Setembro,589,"195,0","0,3311"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Outubro,810,"295,62","0,365"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Outubro,589,"175,0","0,2971"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Novembro,589,"170,0","0,2886"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Novembro,810,"288,0","0,3556"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2022,Dezembro,589,"175,0","0,2971"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2022,Dezembro,810,"237,0","0,2926"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Janeiro,810,"253,0","0,3123"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Janeiro,589,"175,0","0,2971"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Fevereiro,589,"180,0","0,3056"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Fevereiro,810,"265,0","0,3272"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Março,810,"278,0","0,3432"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Março,589,"180,0","0,3056"
