municipio_origem,municipio_destino,ano,mes,uf_origem,uf_destino,soma_frete_tonelada,soma_tonelada_km,repeticoes,media_frete_tonelada,media_tonelada_km,distancia_km,data_padronizada
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2024,Setembro,PI        ,MA        ,"231,0","0,2853",1,"231,0","0,2853","810,0",09/2024
BAIXA GRANDE DO RIBEIRO,TERESINA,2022,Agosto,PI        ,PI        ,"190,0","0,3226",1,"190,0","0,3226","589,0",08/2022
BAIXA GRANDE DO RIBEIRO,TERESINA,2022,Dezembro,PI        ,PI        ,"175,0","0,2971",1,"175,0","0,2971","589,0",12/2022
BAIXA GRANDE DO RIBEIRO,TERESINA,2022,Julho,PI        ,PI        ,"180,0","0,3056",1,"180,0","0,3056","589,0",07/2022
BAIXA GRANDE DO RIBEIRO,TERESINA,2022,Novembro,PI        ,PI        ,"170,0","0,2886",1,"170,0","0,2886","589,0",11/2022
BAIXA GRANDE DO RIBEIRO,TERESINA,2022,Outubro,PI        ,PI        ,"175,0","0,2971",1,"175,0","0,2971","589,0",10/2022
BAIXA GRANDE DO RIBEIRO,TERESINA,2022,Setembro,PI        ,PI        ,"195,0","0,3311",1,"195,0","0,3311","589,0",09/2022
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Abril,PI        ,PI        ,"190,0","0,3226",1,"190,0","0,3226","589,0",04/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Agosto,PI        ,PI        ,"185,0","0,3141",1,"185,0","0,3141","589,0",08/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Fevereiro,PI        ,PI        ,"180,0","0,3056",1,"180,0","0,3056","589,0",02/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Janeiro,PI        ,PI        ,"175,0","0,2971",1,"175,0","0,2971","589,0",01/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Julho,PI        ,PI        ,"175,0","0,2971",1,"175,0","0,2971","589,0",07/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Junho,PI        ,PI        ,"179,0","0,3047",1,"179,0","0,3047","589,0",06/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Maio,PI        ,PI        ,"175,0","0,2971",1,"175,0","0,2971","589,0",05/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Março,PI        ,PI        ,"180,0","0,3056",1,"180,0","0,3056","589,0",03/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Novembro,PI        ,PI        ,"180,0","0,3056",1,"180,0","0,3056","589,0",11/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Outubro,PI        ,PI        ,"190,0","0,3226",1,"190,0","0,3226","589,0",10/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2023,Setembro,PI        ,PI        ,"235,0","0,399",1,"235,0","0,399","589,0",09/2023
BAIXA GRANDE DO RIBEIRO,TERESINA,2024,Abril,PI        ,PI        ,"175,0","0,2971",1,"175,0","0,2971","589,0",04/2024
BAIXA GRANDE DO RIBEIRO,TERESINA,2024,Agosto,PI        ,PI        ,"230,0","0,3905",1,"230,0","0,3905","589,0",08/2024
BAIXA GRANDE DO RIBEIRO,TERESINA,2024,Dezembro,PI        ,PI        ,"158,0","0,2683",1,"158,0","0,2683","589,0",12/2024
BAIXA GRANDE DO RIBEIRO,TERESINA,2024,Fevereiro,PI        ,PI        ,"187,0","0,3175",1,"187,0","0,3175","589,0",02/2024
